,title,company,salary,summary
26,Backend Developer - Digital Shop (Java and/or Kotlin),albert-heijn,€64.000 per jaar,Improving the online shopping experience on AH.nl and in the AH app with new innovations for millions of users each day.Knowledge of Scrum/Kanban (Agile).
27,"medior Front-end Developer (CSS, HTML, NodeJS)",Qualogy,,Web component expert or similar.Should know the ui component based architecture.Should be familiar with WebComponents meta-specification.
28,Front-end Developer,The Valley,,See what’s possible and contact Annebel or Michelle on 020 451 5151.
29,Back-end Developer,Total Internet Group,€3.000 - €5.000 per maand,"Samen met jouw scrum team, bestaande uit een technical lead, front-enders, back-enders, UX designers, product owners en een scrum-master, werk jij aan het…"
30,Full Stack Developer (.NET),Handelsbanken,,Voor beide teams zoeken we Full Stack .Onze zelfsturende Agile teams bestaan uit 7 collega's en werken met dagelijkse stand ups en in sprints van 2 weken.
31,Junior Front-End Developer,Deloitte,,"Als Junior Front-End Developer maak je deel uit van ons Advertising, Marketing & Commerce team.Onze projecten variëren van brand- of customer experience…"
32,Backend Developer,Tiqets,,"We work in multidisciplinary teams combining roles such as Product Owner, Design, Backend, Frontend, Data Analysis.The technology that powers our product."
33,(Junior) Software Developer Geospatial Technology,Accenture,,Familiar with Object Oriented concepts and software engineering in general;Along with your colleagues and customers you will work on projects to shape the…
34,Junior Front-end Developer,Label A,€2.400 - €2.700 per maand,"Bij Label A ga je werken aan maatwerk (web) applicaties voor klanten zoals Rocycle, Van Oord en FIGO.Je bent onderdeel van het hechte Front-end team en werkt…"
35,Junior Full Stack Developer,Deloitte,,Binnen ons team Digital Customer ontwerpen en realiseren we de digitale sales en service mogelijkheden voor onze klanten door middel van toonaangevende…
36,Back-End Developer,Catawiki,,"As the biggest marketplace for special items, Catawiki operates in a domain which brings plenty of unusual challenges and opportunities."
37,Back-end Developer,Moose,,"Als back-end developer werk je in ons getalenteerde en multidisciplinaire team van developers, (ux-)designers en projectmanagers aan uiteenlopende projecten."
38,Java Software Developer,Osudio,,"Design, build, and maintain efficient, reusable, and reliable Java code within planning and budget qualitative E-commerce or Engagement Products that exceed all…"
39,Cloud Software Developer,ChipSoft,,Je komt terecht in een team met veel ervaring op het gebied van software development.Als Cloud Software Developer ga je aan de slag met onze SaaS-dienst…
40,Graduate Software Developer,Quasset,,Experience with Agile/Scrum approach to software development.You will work in a flexible environment in which you can proactively take the initiative whilst…
41,nieuwBackend Developer,DDi Robotic Process Automation,,"So you know how much paperwork it takes to resolve even a minor claim.Our robots wade through a ton of unstructured input (emails, PDFs, documents, image files…"
42,Front-End Developer,NICE,,"A minimum of 2 years work experience, having build a strong software development background.In short: we make and sell software that helps prevent and uncover…"
43,Front-end Developer,Luminis,€29 per uur,"Do you master multiple JavaScript frameworks and the associated tools to build, test and develop?Contribute to the entire innovation process, from the first…"
44,Back-End Developer,Insify,,"You will be one of the early developers on this team, working with our automated quote funnel and customer portal teams.Commercial insurance needs to change."
45,Back End Developer,Rabobank,€3.769 - €5.384 per maand,Solid understanding of software architecture and fundamentals.Designing scalable and future proof solutions.Do you still prefer to travel by car or motorbike?
46,Software Developer,Validata Group,,Ontwikkelen en bouwen in Mendix.Medeverantwoordelijk voor het hele traject van functioneel ontwerpen tot de oplevering.Kennis van en ervaring met Mendix.
47,Java software developer,vamp,,"Experience with developing and maintaining software that runs in production.A minimum of 3 yrs professional JVM based software development experience, working…"
48,nieuwJava Developer (Oracle ExaData),ITSync,,You will be part of a team which creates high quality Database as a Service (DBaaS) Cloud Services for our ING consumers worldwide.
49,Front-End Developer,Hadrian,,Full-time · Amsterdam (on-site).We leverage new cloud technologies to achieve unprecedented scalability.Make a big impact: You’ll help build Hadrian as a best…
50,"WPG Uitgevers, Full-stack WordPress developer",WPG Uitgevers,€3.708 - €5.110 per maand,"De afdeling eCommerce zoekt per direct een Full-Stack WordPress developer.Je werkt samen in een Agile team met andere developers en designers,…"
51,Python Developer,Cloudflight,,Develop yourself within a wide variety of customized software projects.Build high-quality and scalable data-driven software in the domains of Big Data and…
52,Frontend Developer,Borges,,"You know how to operate within a small team of experienced developers, are comfortable working with issue trackers, and have used Git at previous jobs."
53,Junior Full Stack Developer,Deloitte,,Binnen ons team Digital Customer ontwerpen en realiseren we de digitale sales en service mogelijkheden voor onze klanten door middel van toonaangevende…
54,Front-end developer,Total Internet Group,€2.500 - €3.900 per maand,"Samen met jouw scrum team, bestaande uit een technical lead, front-enders, back-enders, UX designers, product owners en een scrum-master, werk jij aan het…"
55,Full Stack Developer (Remote),Catawiki,,"Along with other members of the Development team, you will build scalable microservices while measuring and monitoring system performance."
56,Front End Developer,Quin,,32 - 40 hours · Amsterdam · up to 85K brut annually.Just imagine building a healthcare app that impacts people based on artificial intelligence and deep…
57,Back-end web developer,Kobalt Digital,,"Na deze stand-up ga je je eigen weg, maar je kunt altijd terugvallen op 2 senior developers; je hebt regelmatig contact met klanten en de meeste uren van de dag…"
58,"Front-end Developer, internship",AKQA,,"As your skills grow, you'll get more responsibility and work as part of a core team on a new client project while being mentored by a Senior developer, where…"
59,Back-End Developer,Catawiki,,"As the biggest marketplace for special items, Catawiki operates in a domain which brings plenty of unusual challenges and opportunities."
60,Software Developer PowerDNS (Golang)- Full or Part Time/Remo...,Open-Xchange,,Independently design and develop features for the various Golang-based DNS solutions and software modules.In collaboration with Product Management and other…
61,Graduate Software Developer,Quasset,,Experience with Agile/Scrum approach to software development.You will work in a flexible environment in which you can proactively take the initiative whilst…
