,title,company,salary,summary
148,Data scientist,belastingdienst,€5.825 per maand,"Je werkt samen met onder meer businessanalisten en data engineers aan de ontwikkeling van analyseproducten.Je vindt het leuk om te werken met enorm veel data,…"
149,nieuwProduct Manager - Data & Analytics,Tip Trailer Services,,Translating user stories and requirements into high level designs and data models.The Product Manager will be responsible for data products and their…
150,Senior Product Owner Data Science (Operations),Albert Heijn,€76.000 - €95.000 per jaar,"Jij staat daarbij als Senior Data Science Product Owner aan het front van (meerdere) team(s) bestaande uit data analisten, data scientists, data engineers en…"
151,Supply Chain Data & Analytics Manager,Nike,,"Working understanding of analytical models (e.g. Optimization and Machine Learning) and operationalizing solutions (data engineering), preferably with some…"
152,DATA SCIENTIST,Ordina,,Het kunnen verbreden in de richting van data engineering;Als Data Scientist ben je binnen Ordina werkzaam op het gebied van data en analyse.
153,nieuwProduct Manager - Data & Analytics,Tip Trailer Services,,Translating user stories and requirements into high level designs and data models.The Product Manager will be responsible for data products and their…
154,Data Scientist,Truston,,"Binnen het team houd je je bezig met het uitvoeren van data-analyses, het inzichtelijk maken van issues en knelpunten (uitval, wachttijden, handmatige acties,…"
155,nieuwASSISTANT PROFESSOR (TENURE TRACK) ON DATA VISUALIZATION AND...,Vrije Universiteit Amsterdam,€5.211 per maand,"Academic publication profile showing research experience in data visualization, HCI and/or related fields.Candidates will be expected to contribute to teaching…"
156,Traineeship - Analytics October 2022,ING,,"Has experience with building models in code using quantitative techniques and programming languages like Python, R., Scala, C++, Java, SAS/Matlab and open…"
157,Chapter Lead Data Engineer,Heineken,,Providing guidance on suitable options for designing and creating data pipelines for the analytical solutions to/from data lakes/data warehouses to e.g.…
158,Data Scientist,Eurofiber,,You take the lead on developing analytics and insights on an epic level and co-create the team by acting as a coach for the junior data analysts/scientists.
159,Product Manager Customer Intelligence,Matrixian Group,,"Zorgen dat het productteam (UX-designers, product marketeer, sales, customer support, finance, data scientists/analisten en developers) het Product begrijpen…"
160,BI Product Manager - Data & Analytics,Tip Trailer Services,,Are comfortable using data to help drive decision making.Develop data products which result in EUR 1m cost savings annually.
161,Machine Learning Engineer,PVH,,Mine the data from internal and external sources.Experience of working with popular Python data-related packages such as numpy/pandas.
162,Postdoc position Assessing mental workload in athletes,Vrije Universiteit Amsterdam,€4.474 per maand,A 16-month postdoc position for 0.8 fte is available at the Vrije Universiteit Amsterdam under the supervision of Prof.
163,Data Engineer,Sunrock,,"Design, implement, and continuously expand data pipelines via activities that pre-process, clean and verify those data."
164,Data Scientist - Smart Logistics,CGI,,Je hebt een passie voor data en innovatie.Aantoonbare ervaring in het oplossen van complexe uitdagingen met behulp van data analyse en modellering;
